provinceID = 9
year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1981 35   0.00,  0.00,  0.00,  0.00,  0.27,  0.75,  2.58,  4.25,  9.04, 10.49, 18.61, 14.63, 13.18,  9.58,  6.83,  3.82,  2.37,  1.45,  1.02,  0.59,  0.54
1981 36   0.00,  0.00,  0.05,  0.32,  1.13,  3.01,  5.81,  8.55, 10.33, 13.45, 13.56, 12.26,  9.20,  7.75,  5.38,  3.71,  2.10,  1.13,  0.91,  0.70,  0.65
1981 37   0.00,  0.05,  0.32,  1.08,  2.85,  5.43,  7.26, 10.81, 12.53, 11.62, 12.96, 10.92,  8.61,  6.29,  3.55,  2.21,  0.86,  1.13,  0.70,  0.48,  0.32
1981 38   0.00,  0.22,  0.81,  1.61,  3.66,  5.97,  8.93, 10.33, 11.51, 12.05, 13.88,  9.95,  8.12,  5.11,  3.55,  1.51,  1.24,  0.81,  0.38,  0.27,  0.11
1981 39   0.00,  0.16,  0.70,  1.99,  3.44,  6.89,  8.61, 10.60, 11.62, 12.69, 13.07, 11.24,  7.15,  5.06,  3.39,  1.72,  0.91,  0.43,  0.27,  0.05,  0.00
1981 40   0.00,  0.16,  0.65,  1.94,  3.50,  6.19,  9.58, 11.30, 11.89, 13.88, 13.39,  9.79,  7.91,  4.41,  2.90,  1.72,  0.65,  0.05,  0.00,  0.11,  0.00
1981 41   0.00,  0.11,  0.54,  1.24,  3.17,  6.02,  9.74, 12.59, 14.09, 12.86, 14.20,  9.84,  6.13,  5.81,  2.15,  1.13,  0.11,  0.22,  0.00,  0.05,  0.00
1981 42   0.00,  0.05,  0.38,  0.75,  2.47,  5.06,  9.68, 12.26, 14.15, 15.01, 15.60,  9.84,  7.64,  4.30,  1.72,  0.86,  0.05,  0.11,  0.00,  0.05,  0.00
1981 43   0.00,  0.00,  0.05,  0.59,  1.78,  5.11,  8.71, 13.02, 14.95, 15.49, 17.37, 11.03,  6.08,  3.87,  1.40,  0.43,  0.05,  0.00,  0.05,  0.00,  0.00
1981 44   0.00,  0.00,  0.00,  0.65,  2.53,  7.05, 11.46, 15.92, 16.68, 15.22, 15.38,  8.28,  3.77,  2.15,  0.70,  0.11,  0.05,  0.05,  0.00,  0.00,  0.00
1981 45   0.00,  0.00,  0.00,  0.91,  4.25,  8.93, 13.39, 17.91, 17.59, 13.61, 13.39,  6.40,  1.99,  1.08,  0.48,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00
1981 46   0.00,  0.00,  0.05,  1.61,  5.54, 11.08, 16.03, 18.88, 16.73, 11.62, 11.24,  5.06,  1.34,  0.59,  0.16,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
1981 47   0.00,  0.00,  0.05,  1.67,  6.72, 12.21, 17.97, 17.00, 13.50, 11.08, 11.89,  5.97,  1.51,  0.32,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 48   0.00,  0.00,  0.27,  2.31,  6.56, 14.52, 17.81, 16.51, 11.67,  9.41, 13.02,  6.02,  1.45,  0.32,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 49   0.00,  0.00,  0.54,  2.96,  9.41, 16.14, 17.70, 12.96, 12.32,  9.90, 11.35,  5.38,  1.02,  0.22,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 50   0.00,  0.05,  0.32,  4.20, 10.06, 16.03, 16.94, 14.58, 12.32,  7.58, 10.70,  5.86,  1.02,  0.22,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 51   0.00,  0.00,  0.22,  3.50, 10.70, 16.14, 18.18, 14.74, 12.10,  7.15, 11.19,  4.68,  1.29,  0.05,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 52   0.00,  0.00,  0.16,  2.31,  9.58, 16.03, 19.69, 15.60, 12.59,  7.85,  9.90,  5.00,  1.18,  0.05,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 01   0.00,  0.00,  0.16,  2.64,  9.41, 17.27, 19.53, 17.48, 12.21,  8.02,  8.07,  4.14,  0.86,  0.22,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 02   0.00,  0.00,  0.11,  2.37, 11.35, 19.90, 18.77, 17.48, 12.05,  8.28,  6.29,  2.53,  0.81,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 03   0.00,  0.00,  0.11,  1.34,  8.71, 17.75, 19.90, 19.04, 13.72, 10.70,  5.54,  2.31,  0.81,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 04   0.00,  0.00,  0.00,  0.91,  8.18, 15.71, 22.16, 20.12, 14.42,  9.31,  5.76,  2.26,  1.08,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 05   0.00,  0.00,  0.00,  0.81,  7.32, 17.32, 24.21, 19.26, 14.04,  9.20,  5.06,  1.99,  0.81,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 06   0.00,  0.00,  0.00,  0.54,  7.69, 19.74, 25.39, 19.74, 13.02,  7.85,  4.03,  1.61,  0.38,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 07   0.00,  0.00,  0.05,  0.65,  8.07, 23.18, 25.93, 20.93, 11.57,  6.19,  2.69,  0.65,  0.05,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 08   0.00,  0.00,  0.05,  0.65,  8.93, 22.27, 28.67, 21.14, 11.89,  4.14,  1.72,  0.32,  0.22,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 09   0.00,  0.00,  0.11,  1.78, 12.26, 23.72, 26.79, 19.69, 10.65,  2.90,  1.61,  0.38,  0.05,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 10   0.00,  0.00,  0.38,  3.07, 14.52, 23.24, 25.17, 19.04,  9.58,  3.23,  1.51,  0.22,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 11   0.00,  0.00,  0.38,  4.36, 14.79, 22.27, 23.08, 19.74, 10.27,  3.66,  1.29,  0.11,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 12   0.00,  0.00,  0.75,  5.76, 13.93, 19.69, 21.62, 18.77, 12.48,  4.63,  1.72,  0.54,  0.00,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 13   0.00,  0.00,  1.61,  7.32, 13.56, 19.31, 18.61, 18.67, 11.62,  5.86,  2.64,  0.54,  0.22,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
